"region","waste_type","col_date"
"Sarnen","Karton","2024-01-02"
"Sarnen","Karton","2024-01-09"
"Sarnen","Karton","2024-01-16"
"Sarnen","Karton","2024-01-23"
"Sarnen","Karton","2024-01-30"
"Sarnen","Karton","2024-02-06"
"Sarnen","Karton","2024-02-13"
"Sarnen","Karton","2024-02-20"
"Sarnen","Karton","2024-02-27"
"Sarnen","Karton","2024-03-05"
"Sarnen","Karton","2024-03-12"
"Sarnen","Karton","2024-03-19"
"Sarnen","Karton","2024-03-26"
"Sarnen","Karton","2024-04-02"
"Sarnen","Karton","2024-04-09"
"Sarnen","Karton","2024-04-16"
"Sarnen","Karton","2024-04-23"
"Sarnen","Karton","2024-04-30"
"Sarnen","Karton","2024-05-07"
"Sarnen","Karton","2024-05-14"
"Sarnen","Karton","2024-05-21"
"Sarnen","Karton","2024-05-28"
"Sarnen","Karton","2024-06-04"
"Sarnen","Karton","2024-06-11"
"Sarnen","Karton","2024-06-18"
"Sarnen","Karton","2024-06-25"
"Sarnen","Karton","2024-07-02"
"Sarnen","Karton","2024-07-09"
"Sarnen","Karton","2024-07-16"
"Sarnen","Karton","2024-07-23"
"Sarnen","Karton","2024-07-30"
"Sarnen","Karton","2024-08-06"
"Sarnen","Karton","2024-08-13"
"Sarnen","Karton","2024-08-20"
"Sarnen","Karton","2024-08-27"
"Sarnen","Karton","2024-09-03"
"Sarnen","Karton","2024-09-10"
"Sarnen","Karton","2024-09-17"
"Sarnen","Karton","2024-09-24"
"Sarnen","Karton","2024-10-01"
"Sarnen","Karton","2024-10-08"
"Sarnen","Karton","2024-10-15"
"Sarnen","Karton","2024-10-22"
"Sarnen","Karton","2024-10-29"
"Sarnen","Karton","2024-11-05"
"Sarnen","Karton","2024-11-12"
"Sarnen","Karton","2024-11-19"
"Sarnen","Karton","2024-11-26"
"Sarnen","Karton","2024-12-03"
"Sarnen","Karton","2024-12-10"
"Sarnen","Karton","2024-12-17"
"Sarnen","Karton","2024-12-24"
"Sarnen","Sperrgut","2023-03-30"
